GeneID	GYAPG	GYAOY	GYAOZ	GYAPA	GYAPB	GYAPC	GYAPH	GYAPN	GYAPO	GYAPP	GYAPS	GYAPT
jgi.p|Debha1|11	1	0	1	0	0	2	7	1	4	3	1	1
jgi.p|Debha1|110	41	138	122	123	44	92	1490	548	540	109	106	42
jgi.p|Debha1|1100	23	56	83	64	41	78	184	70	103	71	87	36
jgi.p|Debha1|1101	1032	1025	1607	1258	691	1153	4645	777	1811	1455	1444	745
jgi.p|Debha1|1102	193	470	613	526	360	559	2273	742	854	485	540	235
jgi.p|Debha1|1103	207	428	513	394	280	400	3724	1075	1761	582	548	197
jgi.p|Debha1|1104	78	107	185	148	79	103	959	230	355	170	150	59
jgi.p|Debha1|1105	13	98	47	67	13	30	17	12	7	18	30	11
jgi.p|Debha1|1106	21	54	56	69	36	38	405	101	108	68	38	29
jgi.p|Debha1|1107	420	944	984	841	534	536	2006	755	801	725	800	378
jgi.p|Debha1|1108	51	101	126	134	65	138	219	83	103	79	87	38
jgi.p|Debha1|1109	5068	22860	21792	25054	10863	17115	18636	15423	9793	9425	12338	5492
jgi.p|Debha1|111	2	14	21	24	6	15	13	7	14	9	14	7
jgi.p|Debha1|1110	75	163	257	177	95	139	1157	248	384	227	224	79
jgi.p|Debha1|1111	19	23	34	38	32	26	211	45	86	24	30	16
jgi.p|Debha1|1112	76	273	207	265	94	204	765	377	406	126	200	76
jgi.p|Debha1|1113	91	210	238	224	116	227	921	185	427	224	257	139
jgi.p|Debha1|1114	12	40	42	59	33	53	52	27	18	47	41	15
jgi.p|Debha1|1115	24	277	123	259	70	126	39	72	38	61	61	25
jgi.p|Debha1|1116	18	58	43	72	34	90	51	33	30	32	41	19
jgi.p|Debha1|1117	560	647	1394	655	368	745	3310	750	1837	1120	1147	515
jgi.p|Debha1|1118	781	997	1636	1014	569	1027	3554	918	1453	1460	1475	669
jgi.p|Debha1|1119	27	45	43	38	31	29	133	50	47	41	35	21
jgi.p|Debha1|112	84	421	292	449	183	285	285	248	138	134	184	67
jgi.p|Debha1|1120	211	511	564	490	228	396	3893	875	1750	481	539	255
