GeneID	GYATH	GYATN	GYATO	GYATP	GYATS	GYATT	GYOYH	GYATW	GYATX	GYATY	GYATZ	GYAUA
jgi.p|YarlipO1F2|112419	383	118	373	386	483	221	545	645	738	324	870	481
jgi.p|YarlipO1F2|112702	1902	841	2200	1716	1580	1088	1559	1742	2238	891	1850	1061
jgi.p|YarlipO1F2|112737	11	7	5	9	8	4	3	11	9	6	15	21
jgi.p|YarlipO1F2|112738	31	19	28	16	30	21	4	8	13	15	48	36
jgi.p|YarlipO1F2|112849	222	32	106	1497	339	621	1628	754	1384	479	576	335
jgi.p|YarlipO1F2|112947	233	136	291	221	261	103	436	1924	1392	163	416	301
jgi.p|YarlipO1F2|112954	5	1	4	4	4	4	9	5	6	3	17	2
jgi.p|YarlipO1F2|112960	638	192	495	1057	549	377	1264	1327	1735	529	932	622
jgi.p|YarlipO1F2|113007	1643	480	1514	2310	1623	1156	2728	16614	13242	1612	4161	2443
jgi.p|YarlipO1F2|113203	910	201	723	1478	1108	696	1328	1742	2464	1046	2512	1490
jgi.p|YarlipO1F2|113234	274	97	291	412	227	174	353	596	618	201	546	344
jgi.p|YarlipO1F2|113283	2126	605	1749	1882	1615	1167	763	2350	1841	1167	2058	1155
jgi.p|YarlipO1F2|113317	1400	143	842	2599	1705	1351	2642	2084	2968	1483	2902	1687
jgi.p|YarlipO1F2|113347	766	539	965	115	377	103	382	129	196	48	106	62
jgi.p|YarlipO1F2|113353	711	416	904	145	457	150	358	116	176	61	136	89
jgi.p|YarlipO1F2|113367	672	134	671	1695	639	633	374	250	341	1175	2749	1856
jgi.p|YarlipO1F2|113411	1026	871	1682	574	734	368	301	393	443	511	2175	1222
jgi.p|YarlipO1F2|113514	6	5	14	4	7	3	3	3	3	1	9	5
jgi.p|YarlipO1F2|113540	1772	718	1961	752	1418	656	1200	535	596	163	260	146
jgi.p|YarlipO1F2|113629	0	0	1	0	0	0	1	0	0	0	1	0
jgi.p|YarlipO1F2|113730	1320	544	1434	1458	1249	712	1273	1229	1584	752	1987	1207
jgi.p|YarlipO1F2|113759	1784	845	1964	1349	1267	688	944	261	514	1069	2173	1197
jgi.p|YarlipO1F2|113847	1654	869	2056	1101	1454	620	974	1456	1697	781	2097	1250
jgi.p|YarlipO1F2|113849	2	8	2	1	5	6	6	8	6	5	11	7
jgi.p|YarlipO1F2|113876	392	302	445	89	307	89	298	373	319	89	630	402
jgi.p|YarlipO1F2|113880	270	141	322	271	317	152	293	261	330	195	647	392
jgi.p|YarlipO1F2|114311	5	0	2	0	2	0	2	1	0	0	0	2
jgi.p|YarlipO1F2|114324	153	54	165	137	136	83	236	220	278	94	316	152
jgi.p|YarlipO1F2|114330	681	451	907	205	566	188	413	472	473	88	248	185
jgi.p|YarlipO1F2|114552	81	17	71	70	63	45	103	37	47	25	64	56
jgi.p|YarlipO1F2|114798	277	59	273	288	175	158	182	245	301	211	405	230
jgi.p|YarlipO1F2|114801	1	0	1	2	1	0	1	0	1	0	0	0
jgi.p|YarlipO1F2|114849	1264	682	1400	494	928	379	811	624	781	282	736	391
jgi.p|YarlipO1F2|115999	38	38	61	1	12	2	1	0	1	1	0	1
jgi.p|YarlipO1F2|116232	159	72	167	178	140	67	149	110	89	71	160	131
jgi.p|YarlipO1F2|116290	615	337	748	447	534	284	812	1481	1309	234	636	348
jgi.p|YarlipO1F2|116292	586	213	599	431	495	291	501	722	697	440	2119	1276
jgi.p|YarlipO1F2|116303	249	93	284	292	275	164	351	503	530	222	474	323
jgi.p|YarlipO1F2|116313	9	3	6	5	1	5	5	0	2	2	6	0
jgi.p|YarlipO1F2|116319	8	3	7	35	6	10	1	1	3	32	51	38
jgi.p|YarlipO1F2|116335	8	2	3	8	3	7	2	2	1	8	9	4
jgi.p|YarlipO1F2|116338	1	0	0	3	4	0	7	0	4	0	0	1
jgi.p|YarlipO1F2|116393	301	72	241	384	303	200	366	265	439	261	645	341
jgi.p|YarlipO1F2|116459	1907	575	1715	3115	1942	1392	1695	1970	2097	1890	4433	3316
jgi.p|YarlipO1F2|116506	972	984	1582	50	434	77	30	42	46	19	39	7
jgi.p|YarlipO1F2|1166	3	3	4	2	5	3	2	12	3	10	6	4
jgi.p|YarlipO1F2|116664	6	1	5	0	3	4	3	4	2	0	5	5
jgi.p|YarlipO1F2|116808	764	340	1001	226	762	191	1093	660	581	70	200	131
jgi.p|YarlipO1F2|116974	548	454	756	194	424	113	427	757	669	165	357	211
jgi.p|YarlipO1F2|117035	18	9	8	11	6	11	20	5	8	13	13	12
jgi.p|YarlipO1F2|117128	6931	2880	7002	4481	5396	2767	2370	2603	2990	2640	6455	3870
jgi.p|YarlipO1F2|117139	589	262	620	458	498	268	522	908	896	292	706	464
jgi.p|YarlipO1F2|117187	1379	466	1346	1520	1162	756	453	225	321	1019	1936	1261
jgi.p|YarlipO1F2|11724	232	150	261	189	143	99	285	288	397	142	361	237
jgi.p|YarlipO1F2|11728	1357	180	815	3113	1225	1244	1333	13669	7138	2645	6825	4947
jgi.p|YarlipO1F2|117324	1149	85	651	1664	1420	1161	890	59	135	404	513	333
jgi.p|YarlipO1F2|117337	244	115	295	249	259	133	505	1206	791	150	287	217
jgi.p|YarlipO1F2|117343	49	44	55	25	42	18	37	58	61	24	68	30
jgi.p|YarlipO1F2|117354	3540	1445	3528	3567	3846	1715	2491	12034	8778	2082	5658	3731
jgi.p|YarlipO1F2|117448	154	32	91	239	109	127	2645	8938	5244	258	280	249
jgi.p|YarlipO1F2|11752	244	59	164	568	300	277	420	205	370	569	1526	990
jgi.p|YarlipO1F2|117568	16096	5699	15273	14706	15126	7689	4445	11001	9247	8262	19397	12955
jgi.p|YarlipO1F2|117680	248	117	261	174	228	87	226	124	193	90	174	104
jgi.p|YarlipO1F2|117681	172	73	208	191	163	81	214	400	320	148	285	165
jgi.p|YarlipO1F2|117751	9272	3582	9058	2236	8211	2187	3359	357	506	592	1414	969
jgi.p|YarlipO1F2|117756	6039	1101	4182	6007	6453	3443	3707	1297	2276	3454	6936	4365
jgi.p|YarlipO1F2|117839	387	90	352	449	342	193	176	293	380	358	1125	677
jgi.p|YarlipO1F2|117854	7	0	7	2	3	2	0	1	2	2	2	3
jgi.p|YarlipO1F2|117903	83	9	52	183	60	59	224	350	388	151	281	175
jgi.p|YarlipO1F2|117949	17	19	32	4	3	2	4	1	5	0	5	3
jgi.p|YarlipO1F2|117967	668	258	732	778	606	385	412	358	521	510	1431	861
jgi.p|YarlipO1F2|118079	19	4	5	37	19	10	24	7	6	18	69	43
jgi.p|YarlipO1F2|118185	2923	1601	3586	1642	2330	965	1117	679	897	740	2034	1431
jgi.p|YarlipO1F2|118603	7154	1292	5623	10333	7397	5314	7486	5275	7154	5875	9378	5333
jgi.p|YarlipO1F2|118741	381	210	478	69	291	45	29	19	16	26	40	25
jgi.p|YarlipO1F2|118757	4567	1953	4648	2943	3871	1634	1652	1237	1581	1797	4116	2607
jgi.p|YarlipO1F2|11896	620	250	811	396	476	290	96	55	49	281	663	358
jgi.p|YarlipO1F2|11902	31	10	17	7	3	5	2	0	2	1	4	6
jgi.p|YarlipO1F2|11903	271	48	176	547	259	209	306	215	318	468	1024	676
