cont	cont	cont	lowN	lowN	lowN	salt	salt	salt	lowFE	lowFE	lowFE
101802	39.6020966174676	78.6286895971944	42.6815328220022	27.8534691275026	38.654010239996	17.7055291161845	22.6408968079301	67.8614724166178	58.2699904550643	32.0831829133038	54.8759739501471	52.8756985220214
101834	26.6707997627843	17.9722719079301	24.6239612434628	25.1579721151636	20.2473386971408	19.3151226722013	13.7814154483053	4.9056486084302	2.74211719788538	23.3332239369482	26.2450310196356	22.5211308519721
10219	4.84923632050623	15.7257379194389	0.820798708115426	1.79699800822597	5.52200146285657	3.21918711203354	0.984386817736092	0	0.685529299471345	0	0.59647797771899	0
102250	508.361607599737	682.946332501346	604.928647881069	529.215913422549	462.927789302809	455.514976352746	373.082603921979	256.72894384118	216.627258632945	609.580475352772	583.355462209172	512.1109319818
102328	40.4103026708853	15.7257379194389	32.831948324617	78.1694133578298	46.0166788571381	72.4317100207547	39.3754727094437	4.9056486084302	10.2829394920702	78.7496307872002	52.4900620392711	60.7091353400987
102351	150.326325935693	130.298971332494	174.00932612047	247.087226131071	213.517389897121	212.466349394214	206.721231724579	270.628281565066	281.752542082723	291.665299211853	257.082008396885	244.794900564914
102362	1228.47320119491	3580.97517765508	1992.07846459614	333.343130525918	633.18950107422	313.87074342327	322.878876217438	208.490065858283	220.740434429773	301.873584684267	283.32703941652	313.33747272309
102429	147.90170777544	226.899932837618	177.292520952932	69.1844233166999	115.041697142845	83.6988649128721	132.892220394372	112.01230989249	109.684687915415	71.4579983069039	54.8759739501471	50.9173393175021
102437	374.199402732398	366.185040124077	385.77539281425	399.832056830279	444.521117759954	352.500988767673	632.960723804307	477.483131220539	472.329687335757	471.039458227142	355.500874720518	350.546297608957
102516	67.0811024336695	35.9445438158603	46.7855263625793	41.3309541891974	56.1403482057085	70.8221164647379	95.4855213204009	104.653836979844	95.9741019259883	53.9580803541927	54.2794959724281	56.79241693106
10256	1783.71075989288	894.120527419525	1370.73384255276	3673.06392881389	1740.35079437696	3100.0771888883	1271.82776851503	345.030618792924	439.424280961132	2591.44618349731	2037.56877188807	2297.15534690115
10282	662.728963802518	810.998769845348	874.150624142929	593.009342714571	663.560509119931	650.275796630776	215.580713084204	76.8551615320731	130.250566899556	548.330762518283	548.163261523752	511.13175237954
10340	4041.03026708853	4886.21142496851	4225.47174937821	4228.33631335571	3687.77664361105	3819.5655084278	2558.4213392961	4435.5239501223	4039.82416178463	3691.02436152599	3455.99340290383	3566.17211142967
10380	1337.5810184063	2096.01621126235	1704.79891675574	1274.07158783221	1206.55731963416	960.927352942013	1227.53036171691	1853.51756588521	1364.20330594798	1254.16078661097	1087.97583135944	1049.68053362235
