GeneID	GYAPU	GYAPW	GYAPX	GYAPY	GYAPZ	GYASA	GYOYB	GYOYC	GYASG	GYOYG	GYASN	GYASO
jgi.p|Debsub1|213423	3194	1548	3189	2559	2468	3059	244	302	285	1185	1993	1186
jgi.p|Debsub1|213461	1865	904	1501	956	1170	2135	85	145	225	698	1286	194
jgi.p|Debsub1|213464	2881	1400	3939	2597	2812	3402	970	1505	1665	1672	3217	2973
jgi.p|Debsub1|213466	1462	760	995	684	983	1311	73	111	128	563	1318	251
jgi.p|Debsub1|213467	2213	1103	2903	1403	1649	1960	3209	1279	4303	1172	1969	2716
jgi.p|Debsub1|213469	9560	5250	12233	8149	11857	14252	9885	5470	15772	9992	17919	19199
jgi.p|Debsub1|213475	2858	1376	2481	1809	1831	2291	75	116	116	1040	2115	765
jgi.p|Debsub1|213476	962	444	803	588	689	688	8	19	32	292	601	180
jgi.p|Debsub1|213478	866	420	567	371	497	575	22	23	47	215	529	198
jgi.p|Debsub1|213479	4283	2274	4315	2755	3328	4712	213	341	461	2035	3523	1379
jgi.p|Debsub1|213480	1911	908	1558	1056	1205	1613	28	61	66	523	1161	219
jgi.p|Debsub1|213482	5058	2459	4930	2762	2384	3864	183	248	291	1064	2481	1339
jgi.p|Debsub1|213486	719	364	391	270	304	372	8	17	26	212	368	115
jgi.p|Debsub1|213487	1055	519	590	418	527	506	21	19	63	335	719	216
jgi.p|Debsub1|213488	491	256	314	175	245	298	20	34	65	124	344	61
jgi.p|Debsub1|213490	9816	4992	10543	6801	7181	8848	428	553	707	2740	5693	3827
jgi.p|Debsub1|213491	1276	611	1486	862	977	1157	180	399	443	534	888	664
jgi.p|Debsub1|213493	1620	880	2426	1252	1478	1889	581	693	1229	820	1502	1278
jgi.p|Debsub1|213498	629	284	421	275	327	322	8	13	21	159	351	78
jgi.p|Debsub1|213500	857	451	426	310	446	483	39	23	73	217	553	168
jgi.p|Debsub1|213501	1057	489	857	483	645	755	33	48	41	406	736	346
jgi.p|Debsub1|213502	1913	1009	2096	1316	1662	1903	170	223	299	857	1684	1199
jgi.p|Debsub1|213503	726	434	526	428	533	878	39	29	82	338	811	232
jgi.p|Debsub1|213504	45387	22156	62543	36137	39355	46289	10667	15421	17145	34240	64159	77057
jgi.p|Debsub1|213520	33157	15655	53364	25297	30774	34754	88256	47631	100336	16938	26930	26446
jgi.p|Debsub1|213526	2268	1141	2185	1259	1409	1896	42	153	103	679	1417	280
jgi.p|Debsub1|213527	4471	2272	6158	3044	4068	4334	4279	2225	6205	2408	4706	5741
jgi.p|Debsub1|213529	1703	899	1829	1041	1243	1572	293	266	327	635	1249	942
jgi.p|Debsub1|213530	312	153	171	111	135	183	22	24	45	136	173	65
jgi.p|Debsub1|213535	2449	1222	3089	1745	2205	2566	751	1087	1471	1342	2376	1540
jgi.p|Debsub1|213536	1787	884	2586	1626	1844	2122	476	479	806	1317	2793	3082
jgi.p|Debsub1|213538	510	267	408	227	333	450	69	43	161	283	357	300
jgi.p|Debsub1|213540	9373	4722	8789	5483	6010	8100	158	316	393	2906	6212	1721
jgi.p|Debsub1|213541	814	397	742	427	500	560	48	52	52	252	464	306
jgi.p|Debsub1|213542	1884	879	2164	1096	1548	1661	571	499	1296	1123	1873	1250
jgi.p|Debsub1|213544	1654	690	1633	677	874	738	75	226	109	717	948	587
jgi.p|Debsub1|213546	359	178	437	456	534	770	54	51	114	283	575	401
jgi.p|Debsub1|213547	1642	928	2111	1360	1551	1882	291	472	567	871	1742	1327
jgi.p|Debsub1|213555	4829	2454	6755	3074	3441	4434	3262	4724	7770	3192	5899	4637
jgi.p|Debsub1|213560	736	364	882	832	859	1149	92	139	156	438	951	719
jgi.p|Debsub1|213561	376	204	342	167	294	387	48	56	93	197	408	87
jgi.p|Debsub1|213562	1226	606	964	598	897	1217	67	74	151	624	1184	389
jgi.p|Debsub1|213565	5162	2356	6652	2381	2610	3003	3830	2060	6458	1456	2844	3866
jgi.p|Debsub1|213568	3635	1720	4684	2209	2656	3633	1460	1338	2790	1113	2196	2069
jgi.p|Debsub1|213569	6857	3370	4969	3121	3457	3307	166	207	355	2152	4465	1184
jgi.p|Debsub1|213572	2192	1060	2019	1455	1651	2314	97	183	250	789	1867	650
jgi.p|Debsub1|213574	1786	927	1628	1382	1575	2073	46	75	117	663	1691	642
jgi.p|Debsub1|213575	47	23	65	45	33	55	9	7	32	14	32	33
jgi.p|Debsub1|213577	5089	2625	7675	4005	4985	4873	2725	4472	5419	2675	5345	4637
jgi.p|Debsub1|213580	4516	2094	6328	3026	4178	4566	3218	3248	4767	2891	5006	4237
jgi.p|Debsub1|213581	504	245	380	259	509	328	20	18	29	254	629	189
jgi.p|Debsub1|213584	76	39	73	70	97	139	29	20	64	47	132	104
jgi.p|Debsub1|213587	12772	6477	19823	9735	10886	12515	22864	9975	29291	5810	10889	14516
jgi.p|Debsub1|213589	829	430	399	317	372	334	16	14	24	122	382	67
jgi.p|Debsub1|213593	4968	2030	8033	2785	3828	3299	29564	18747	27592	6340	6710	7574
jgi.p|Debsub1|213597	1294	697	1159	800	891	942	18	56	54	437	879	388
jgi.p|Debsub1|213600	11174	5174	14586	4992	4790	6163	800	1328	1572	3562	6101	6544
jgi.p|Debsub1|213601	826	346	1222	724	794	840	627	602	848	436	807	895
jgi.p|Debsub1|213603	24129	12387	24571	17629	18953	25129	2784	3980	5323	5897	9754	8744
jgi.p|Debsub1|213607	1850	962	1732	1282	1472	1833	45	78	67	583	1340	517
jgi.p|Debsub1|213608	674	354	577	293	542	668	185	105	433	394	661	435
jgi.p|Debsub1|213609	1434	705	1136	787	921	1283	25	38	54	432	947	304
jgi.p|Debsub1|213610	9003	4688	13297	7385	8180	9704	6477	3745	10426	4392	8939	10720
jgi.p|Debsub1|213611	6640	3226	8399	3969	4311	5682	736	1390	1307	2030	4340	3151
jgi.p|Debsub1|213613	10407	4843	13876	10131	10693	13234	9080	8003	15133	6591	12199	15896
jgi.p|Debsub1|213614	44007	20105	59548	35294	37663	44935	19276	31496	24313	28687	42033	44507
jgi.p|Debsub1|213622	92276	43556	123315	64268	70173	83170	19277	35184	30934	42247	75925	92811
jgi.p|Debsub1|213630	2237	1075	2503	1887	2190	2742	174	239	373	2853	5049	4403
jgi.p|Debsub1|213631	1294	705	1230	885	1125	1301	245	232	434	783	1329	833
jgi.p|Debsub1|213636	905	477	925	566	783	1115	349	301	771	538	792	260
jgi.p|Debsub1|213638	2752	1431	1636	1416	1689	2206	59	60	105	673	1756	460
jgi.p|Debsub1|213642	13867	6613	19279	9443	11626	12759	7226	5868	10769	8197	13697	18784
jgi.p|Debsub1|213646	780	435	875	568	717	836	230	169	279	416	931	834
jgi.p|Debsub1|213655	62239	30236	78323	58999	69196	87876	6377	14754	14042	63325	110629	68526
jgi.p|Debsub1|213670	1436	665	1065	600	813	1260	52	38	108	418	958	322
jgi.p|Debsub1|213671	3377	1594	3976	2821	2889	3693	250	283	329	1214	2377	1596
jgi.p|Debsub1|213676	2491	1197	3801	2544	2464	3043	379	711	582	1167	2522	1936
jgi.p|Debsub1|213677	1543	680	2289	1686	1756	2009	591	531	894	638	1644	1727
jgi.p|Debsub1|213679	21379	11151	28074	15865	17990	22417	12911	9397	20787	8698	17725	22981
jgi.p|Debsub1|213683	857	428	625	509	586	654	24	22	39	197	670	192
jgi.p|Debsub1|213685	208	132	226	191	179	164	11	11	19	80	193	102
jgi.p|Debsub1|213686	998	514	496	441	488	773	11	15	18	287	623	76
jgi.p|Debsub1|213687	1465	781	1597	768	1050	1174	330	239	468	979	1588	2077
jgi.p|Debsub1|213689	876	416	923	570	709	776	64	133	97	369	770	262
jgi.p|Debsub1|213691	1746	902	1179	990	1155	1438	36	35	80	525	1029	246
jgi.p|Debsub1|213693	14040	6888	20437	10098	13731	18221	15739	11374	36096	12210	19574	12450
jgi.p|Debsub1|213701	694	358	441	297	379	356	13	16	34	219	524	134
