cont	cont	cont	lowN	lowN	lowN	salt	salt	salt	lowFE	lowFE	lowFE
101285	708.380868170971	693.831192216572	662.421976600434	656.190072279568	629.195868371635	709.45144665172	188.77722314975	285.122960394724	371.404899558632	764.2737790147	899.899077819704	552.383842722727
101287	546.441513782531	636.289903438995	400.346229917154	624.278093080561	550.406687696324	504.656758544993	151.0217785198	162.300762070843	155.545641695495	323.269849087158	525.346488673125	256.499992781669
101290	268.653236639284	237.670540603032	105.085567257744	140.944574795611	132.991666671802	167.034279236723	50.3405928399334	74.5706204109278	101.580827229711	145.670981378781	143.497420517196	99.9744066353748
101294	2343.13788926658	2452.59319267901	3174.26484740902	3098.12131390353	3010.19373260924	2709.42039644887	5078.10730272829	4702.33559297145	4409.24278193965	2706.88611288105	2674.40277289337	4970.44474201328
101296	175.641915144385	145.938051247476	61.6899079043436	85.0986111973502	73.201295521034	79.5189786791847	69.2183151549085	74.5706204109278	76.1856204222834	49.8873223899935	71.5054942916197	20.1968498253282
101304	734.540302341411	744.701027222835	648.382204456687	738.629351877001	747.100245126889	1011.9789577161	232.825241884692	193.006311651813	311.091283390991	925.908703558279	774.886070792859	481.694868334079
101363	166.506874640422	193.472159368082	117.848996479332	144.268739295508	155.901995804339	171.920920384606	69.2183151549085	109.662677074894	57.1392153167126	116.736334392585	168.305449148982	128.249996390834
101364	234.189220192513	231.833018553133	73.6024418444927	83.1041124974123	93.3176820764326	89.7365010793034	113.26633388985	52.6380849959491	101.580827229711	94.7859125409876	108.960753206278	40.3936996506565
101405	2302.44543611256	2180.731451498	2545.45323442543	2527.02985282131	2077.01691184491	2036.39663835409	1730.45787887271	1938.83613068412	1539.58441270031	2504.34358397767	2393.73154700041	2701.32866413765
101470	259.51819613532	227.663359946063	316.95849233611	258.619998091947	272.130007013309	250.995658959438	4404.80187349418	1166.81088407687	2974.41359731998	302.317173683361	261.700380468649	752.332655993477
101472	168.998249323321	172.623866332729	98.7038526469498	171.526888194659	159.254726896906	128.385390158013	169.899500834775	61.4110991619406	69.8368187204265	82.8129551673892	141.065260847413	56.5511795109191
101475	456.752025198164	435.312358578186	685.396149199293	741.953516376897	604.609173692815	544.194127832409	679.598003339102	688.681612030334	628.531368483838	464.949844674739	529.724376078734	764.450765888674
101481	172.735311347669	162.616685675759	235.272545317945	243.328841392423	257.601505612188	224.341252698258	440.480187349418	820.276824520206	587.264157421768	292.339709205362	309.857141930352	274.677157624464
101482	141.593127811431	109.245055505253	72.3260989223339	91.0821072971639	98.90556723071	143.045313601662	50.3405928399334	96.5031558259066	101.580827229711	159.639431647979	164.900425611286	57.5610220021855
101544	1363.61240977343	1410.17854091133	1133.39251487704	1402.13258605634	1282.41964290666	974.662788950453	314.628705249584	412.331665801601	304.742481689134	956.838843440075	946.596543479537	681.643681604828
101685	355.020892313118	357.75670848667	279.093652312065	321.779123589981	290.570028022425	302.083270960031	69.2183151549085	92.1166487429109	130.150434888067	303.31492013116	333.692306694225	201.968498253282
101876	1497.73141353616	1485.2323958386	2048.53039006493	2028.40517783684	1647.30854348098	1677.89487414123	2630.29597588652	1807.24091819425	2358.57983223986	1195.30024446424	1423.78627069096	2423.62197903939
101903	543.534909985815	546.225277526267	819.83760366669	729.98652417727	676.134103667566	583.287257015472	4190.85435392446	3368.83743974074	3018.85520923298	675.474345160512	571.557522399001	1546.06885412888
101958	221.732346778018	203.479340025052	290.155290970775	221.389355693106	188.311729699148	253.216859481203	2504.44449378669	1816.01393236024	2256.99900501015	255.423090636767	233.487328299166	332.23817962665
101964	622.013212497136	581.250409825662	497.773739641945	355.685601488925	508.497549039243	472.227230927225	629.257410499168	403.55865163561	580.915355719911	820.147580091493	611.931372917399	682.653524096095
101965	266.577091070201	237.670540603032	173.582637413601	162.884060494928	200.046288523131	181.249962576019	295.750982934609	206.1658329008	247.603266372421	345.220270938755	243.702398912255	279.726370080796
